round,recalled words & phrases
1,thick apparatus;informal legislature;progressive childcare;intense stair;minor curse;negative laugh;presidential wardrobe;expected loss;monthly mission;extraordinary gene
2,monthly mission;presidential wardrobe;regulatory loss;extraordinary gene;thick apparatus;intense glare;minor curse;quiet rehearsal
3,quiet rehearsal;presidential wardrobe;monthly mission;ethical dilemma;typical transit;negative laugh;critical debt;intense glare;informal legislature;progressive childcare;thick apparatus;extraordinary gene;negative laugh;critical
